Warning: Delays under 1 second may cause unreliable results with UDP scans, defaulting to 1s.
=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : UDP
Ports     : 200 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 1.0s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 107ms — timeout set to 0.50s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [6d68e239]: inbound UDP, 200 ports

  Scan [6d68e239] — inbound:

  Baseline (no IP options):
    UDP/3703   closed   [was open|filtered]
    UDP/4000   closed   [was open|filtered]
    UDP/4045   closed   [was open|filtered]
    UDP/4444   closed   [was open|filtered]
    UDP/4500   closed   [was open|filtered]
    UDP/4672   closed   [was open|filtered]
    UDP/5000   closed   [was open|filtered]
    UDP/5001   closed   [was open|filtered]
    UDP/5060   closed   [was open|filtered]
    UDP/5101   closed   [was open|filtered]
    UDP/5353   closed   [was open|filtered]
    UDP/5355   closed   [was open|filtered]
    UDP/5357   closed   [was open|filtered]
    UDP/5631   closed   [was open|filtered]
    UDP/5632   closed   [was open|filtered]
    UDP/5666   closed   [was open|filtered]
    UDP/5800   closed   [was open|filtered]
    UDP/5900   closed   [was open|filtered]
    UDP/6000   closed   [was open|filtered]
    UDP/6001   open|filtered
    UDP/6346   closed   [was open|filtered]
    UDP/8000   closed   [was open|filtered]
    UDP/8008   closed   [was open|filtered]
    UDP/8009   closed   [was open|filtered]
    UDP/8080   closed   [was open|filtered]
    UDP/8081   closed   [was open|filtered]
