=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 500 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 119ms — timeout set to 0.50s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [57d27f6a]: inbound TCP, 500 ports

  Scan [57d27f6a] — inbound:

  Baseline (no IP options):
    TCP/17615  closed   [was filtered]
    TCP/17616  closed   [was filtered]
    TCP/17888  closed   [was filtered]
    TCP/17939  closed   [was filtered]
    TCP/17989  closed   [was filtered]
    TCP/18004  closed   [was filtered]
    TCP/18234  closed   [was filtered]
    TCP/18331  closed   [was filtered]
    TCP/18360  closed   [was filtered]
    TCP/18449  closed   [was filtered]
    TCP/18582  closed   [was filtered]
    TCP/18835  closed   [was filtered]
    TCP/18980  closed   [was filtered]
    TCP/19017  closed   [was filtered]
    TCP/19039  closed   [was filtered]
    TCP/19120  closed   [was filtered]
    TCP/19130  closed   [was filtered]
    TCP/19165  closed   [was filtered]
    TCP/19197  closed   [was filtered]
    TCP/19283  closed   [was filtered]
    TCP/19294  closed   [was filtered]
    TCP/19322  closed   [was filtered]
    TCP/19332  closed   [was filtered]
    TCP/19489  closed   [was filtered]
    TCP/19503  closed   [was filtered]
    TCP/19600  closed   [was filtered]
    TCP/19616  closed   [was filtered]
    TCP/19682  closed   [was filtered]
    TCP/19687  closed   [was filtered]
    TCP/19933  closed   [was filtered]
    TCP/20004  closed   [was filtered]
    TCP/20019  closed   [was filtered]
    TCP/20031  closed   [was filtered]
    TCP/20126  closed   [was filtered]
    TCP/20359  closed   [was filtered]
    TCP/20389  closed   [was filtered]
    TCP/21131  closed   [was filtered]
    TCP/21212  closed   [was filtered]
    TCP/21261  closed   [was filtered]
    TCP/21298  closed   [was filtered]
    TCP/21354  closed   [was filtered]
    TCP/21383  closed   [was filtered]
    TCP/21621  closed   [was filtered]
    TCP/21803  closed   [was filtered]
    TCP/21902  closed   [was filtered]
    TCP/22055  closed   [was filtered]
    TCP/22341  closed   [was filtered]
    TCP/22692  closed   [was filtered]
    TCP/22695  closed   [was filtered]
    TCP/22739  closed   [was filtered]
    TCP/22799  closed   [was filtered]
    TCP/22846  closed   [was filtered]
    TCP/22914  closed   [was filtered]
    TCP/22986  closed   [was filtered]
    TCP/22996  closed   [was filtered]
    TCP/23040  closed   [was filtered]
    TCP/23176  closed   [was filtered]
    TCP/23354  closed   [was filtered]
    TCP/23531  closed   [was filtered]
    TCP/23557  closed   [was filtered]
    TCP/23608  closed   [was filtered]
    TCP/23679  closed   [was filtered]
    TCP/23781  closed   [was filtered]
    TCP/23965  closed   [was filtered]
    TCP/23980  closed   [was filtered]
    TCP/24007  closed   [was filtered]
    TCP/24279  closed   [was filtered]
    TCP/24511  closed   [was filtered]
    TCP/24594  closed   [was filtered]
    TCP/24606  closed   [was filtered]
    TCP/24644  closed   [was filtered]
    TCP/24854  closed   [was filtered]
    TCP/24910  closed   [was filtered]
    TCP/25003  closed   [was filtered]
    TCP/25157  closed   [was filtered]
    TCP/25240  closed   [was filtered]
    TCP/25280  closed   [was filtered]
    TCP/25375  closed   [was filtered]
    TCP/27015  closed   [was filtered]
    TCP/27195  closed   [was filtered]
    TCP/27892  closed   [was filtered]
    TCP/28547  closed   [was filtered]
    TCP/29823  closed   [was filtered]
    TCP/30303  closed   [was filtered]
    TCP/30365  closed   [was filtered]
    TCP/30718  closed   [was filtered]
    TCP/31073  closed   [was filtered]
    TCP/31337  closed   [was filtered]
    TCP/31681  closed   [was filtered]
    TCP/31891  closed   [was filtered]
    TCP/32768  closed   [was filtered]
    TCP/32769  closed   [was filtered]
    TCP/32770  closed   [was filtered]
    TCP/32771  closed   [was filtered]
    TCP/32772  closed   [was filtered]
    TCP/32773  closed   [was filtered]
    TCP/32774  closed   [was filtered]
    TCP/32775  closed   [was filtered]
    TCP/32776  closed   [was filtered]
    TCP/32777  closed   [was filtered]
    TCP/32779  closed   [was filtered]
    TCP/32815  closed   [was filtered]
    TCP/32818  closed   [was filtered]
    TCP/32931  closed   [was filtered]
