=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 200 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 164ms — timeout set to 0.65s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [3b187b16]: inbound TCP, 200 ports

  Scan [3b187b16] — inbound:

  Baseline (no IP options):
    TCP/6000   closed   [was filtered]
    TCP/6001   closed   [was filtered]
    TCP/6346   closed   [was filtered]
    TCP/8000   closed   [was filtered]
    TCP/8008   closed   [was filtered]
    TCP/8009   closed   [was filtered]
    TCP/8080   closed   [was filtered]
    TCP/8081   closed   [was filtered]
    TCP/8443   closed   [was filtered]
    TCP/8888   closed   [was filtered]
    TCP/9200   closed   [was filtered]
    TCP/10000  closed   [was filtered]
    TCP/10080  closed   [was filtered]
    TCP/17185  closed   [was filtered]
    TCP/19283  closed   [was filtered]
    TCP/20031  closed   [was filtered]
    TCP/30718  closed   [was filtered]
    TCP/31337  closed   [was filtered]
    TCP/32768  closed   [was filtered]
    TCP/32769  closed   [was filtered]
    TCP/32770  closed   [was filtered]
    TCP/32771  closed   [was filtered]
    TCP/32772  closed   [was filtered]
    TCP/32815  closed   [was filtered]
    TCP/33281  closed   [was filtered]
    TCP/33354  closed   [was filtered]
    TCP/34555  closed   [was filtered]
    TCP/34861  closed   [was filtered]
    TCP/34862  closed   [was filtered]
    TCP/37444  closed   [was filtered]
    TCP/41524  closed   [was filtered]
    TCP/49152  closed   [was filtered]
    TCP/49153  closed   [was filtered]
    TCP/49154  closed   [was filtered]
    TCP/49155  closed   [was filtered]
    TCP/49156  closed   [was filtered]
    TCP/49158  closed   [was filtered]
    TCP/49162  closed   [was filtered]
    TCP/49171  closed   [was filtered]
    TCP/49179  closed   [was filtered]
    TCP/49180  closed   [was filtered]
    TCP/49181  closed   [was filtered]
    TCP/49182  closed   [was filtered]
    TCP/49184  closed   [was filtered]
    TCP/49185  closed   [was filtered]
    TCP/49186  closed   [was filtered]
    TCP/49187  closed   [was filtered]
    TCP/49188  closed   [was filtered]
    TCP/49189  closed   [was filtered]
    TCP/49190  closed   [was filtered]
    TCP/49191  closed   [was filtered]
    TCP/49192  closed   [was filtered]
    TCP/49193  closed   [was filtered]
    TCP/49194  closed   [was filtered]
    TCP/49195  closed   [was filtered]
    TCP/49196  closed   [was filtered]
    TCP/49199  closed   [was filtered]
    TCP/49200  closed   [was filtered]
    TCP/49201  closed   [was filtered]
    TCP/49202  closed   [was filtered]
    TCP/49205  closed   [was filtered]
    TCP/49208  closed   [was filtered]
    TCP/49209  closed   [was filtered]
    TCP/49210  closed   [was filtered]
    TCP/49211  closed   [was filtered]
    TCP/65024  closed   [was filtered]

  IP Options Support:
    record_route     — supported
    timestamp        — inconclusive
    router_alert     — supported
[Client] Disconnected.
