=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 500 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 59ms — timeout set to 0.50s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [1bb104a5]: inbound TCP, 500 ports
    
  Scan [1bb104a5] — inbound:

  Baseline (no IP options):
    TCP/1485   filtered   [was closed]
    TCP/1645   closed
    TCP/1646   filtered   [was closed]
    TCP/1701   closed
    TCP/1718   filtered   [was closed]
    TCP/1719   closed
    TCP/1720   filtered   [was closed]
    TCP/1723   closed
    TCP/1755   closed
    TCP/1761   closed
    TCP/1782   filtered   [was closed]
    TCP/1801   closed
    TCP/1812   filtered   [was closed]
    TCP/1813   filtered   [was closed]
    TCP/1885   closed
    TCP/1886   closed
    TCP/1900   filtered   [was closed]
    TCP/1901   closed
    TCP/2000   filtered   [was closed]
    TCP/2001   closed
    TCP/2002   filtered   [was closed]
    TCP/2048   closed
    TCP/2049   filtered   [was closed]
    TCP/2051   closed
    TCP/2103   closed
    TCP/2105   filtered   [was closed]
    TCP/2107   filtered   [was closed]
    TCP/2121   closed
    TCP/2148   filtered   [was closed]
    TCP/2160   closed
    TCP/2222   filtered   [was closed]
    TCP/2223   filtered   [was closed]
    TCP/2601   filtered   [was closed]
    TCP/2717   closed
    TCP/2869   closed
    TCP/2967   closed
    TCP/3000   closed
    TCP/3001   filtered   [was closed]
    TCP/3052   closed
    TCP/3128   filtered   [was closed]
    TCP/3130   closed
    TCP/3283   closed
    TCP/3306   closed
    TCP/3389   closed
    TCP/3401   filtered   [was closed]
    TCP/3456   filtered   [was closed]
    TCP/3659   filtered   [was closed]
    TCP/3689   filtered   [was closed]
    TCP/3702   filtered   [was closed]
    TCP/3703   filtered   [was closed]
    TCP/3986   filtered   [was closed]
    TCP/4000   closed
    TCP/4001   filtered   [was closed]
    TCP/4045   filtered   [was closed]
    TCP/4444   closed
    TCP/4500   closed
    TCP/4672   filtered   [was closed]
    TCP/4899   filtered   [was closed]
    TCP/5000   filtered   [was closed]
    TCP/5001   closed   [was filtered]
    TCP/5002   closed   [was filtered]
    TCP/5003   filtered
    TCP/5009   closed   [was filtered]
    TCP/5050   closed   [was filtered]
    TCP/5051   closed   [was filtered]
    TCP/5060   filtered
    TCP/5093   filtered
    TCP/5101   closed   [was filtered]
    TCP/5120   filtered
    TCP/5190   closed   [was filtered]
    TCP/5351   closed   [was filtered]
    TCP/5353   closed   [was filtered]
    TCP/5355   filtered
    TCP/5357   closed   [was filtered]
    TCP/5432   filtered
    TCP/5500   closed   [was filtered]
    TCP/5631   filtered
    TCP/5632   closed   [was filtered]
    TCP/5666   closed   [was filtered]
    TCP/5800   closed   [was filtered]
    TCP/5900   filtered
    TCP/5901   filtered
    TCP/6000   filtered
    TCP/6001   closed   [was filtered]
    TCP/6004   closed   [was filtered]
    TCP/6346   closed   [was filtered]
    TCP/6347   filtered
    TCP/6646   filtered
    TCP/6970   filtered
    TCP/6971   filtered
    TCP/7000   filtered
    TCP/7070   closed   [was filtered]
    TCP/7938   filtered
    TCP/8000   filtered
    TCP/8001   closed   [was filtered]
    TCP/8008   filtered
    TCP/8009   filtered
    TCP/8010   filtered
    TCP/8031   filtered
    TCP/8080   filtered
    TCP/8081   filtered
    TCP/8181   closed   [was filtered]
    TCP/8193   filtered
    TCP/8443   closed   [was filtered]
    TCP/8888   filtered
    TCP/9000   filtered
    TCP/9020   closed   [was filtered]
    TCP/9090   closed   [was filtered]
    TCP/9100   closed   [was filtered]
    TCP/9102   closed   [was filtered]
    TCP/9103   filtered
    TCP/9199   closed   [was filtered]
    TCP/9200   filtered
    TCP/9876   filtered
    TCP/9950   closed   [was filtered]
    TCP/9999   filtered
    TCP/10000  filtered
    TCP/10010  closed
    TCP/10080  filtered   [was closed]
    TCP/11487  closed
    TCP/16402  filtered   [was closed]
    TCP/16430  closed
    TCP/16680  filtered   [was closed]
    TCP/16832  filtered   [was closed]
    TCP/16918  filtered   [was closed]
    TCP/16947  filtered   [was closed]
    TCP/17091  closed
    TCP/17185  filtered   [was closed]
    TCP/17455  filtered   [was closed]
    TCP/17459  filtered   [was closed]
    TCP/17573  closed
    TCP/17615  closed
    TCP/17616  filtered   [was closed]
    TCP/17888  filtered   [was closed]
    TCP/17939  filtered   [was closed]
